time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1769154559576000000,311.239,0.7400000095367432,unplugged,false
1769154560577000000,312.24,0.7400000095367432,unplugged,false
1769154561576000000,313.239,0.7400000095367432,unplugged,false
1769154562576000000,314.239,0.7400000095367432,unplugged,false
1769154563577000000,315.24,0.7400000095367432,unplugged,false
1769154564578000000,316.2409997558594,0.7400000095367432,unplugged,false
1769154565578000000,317.2409997558594,0.7400000095367432,unplugged,false
1769154566579000000,318.242,0.7400000095367432,unplugged,false
1769154567580000000,319.243,0.7400000095367432,unplugged,false
1769154568581000000,320.244,0.7400000095367432,unplugged,false
1769154569583000000,321.246,0.7400000095367432,unplugged,false
1769154570584000000,322.247,0.7400000095367432,unplugged,false
1769154571584000000,323.247,0.7400000095367432,unplugged,false
1769154572585000000,324.248,0.7400000095367432,unplugged,false
1769154573586000000,325.24899975585936,0.7400000095367432,unplugged,false
1769154574593000000,326.256,0.7400000095367432,unplugged,false
1769154575593000000,327.256,0.7400000095367432,unplugged,false
1769154576594000000,328.2569997558594,0.7400000095367432,unplugged,false
1769154577593000000,329.256,0.7400000095367432,unplugged,false
1769154578594000000,330.2569997558594,0.7400000095367432,unplugged,false
1769154579594000000,331.2569997558594,0.7400000095367432,unplugged,false
1769154580595000000,332.258,0.7400000095367432,unplugged,false
1769154581595000000,333.258,0.7400000095367432,unplugged,false
1769154582596000000,334.259,0.7400000095367432,unplugged,false
1769154583596000000,335.259,0.7400000095367432,unplugged,false
1769154584596000000,336.259,0.7400000095367432,unplugged,false
1769154585597000000,337.26,0.7400000095367432,unplugged,false
1769154586596000000,338.259,0.7400000095367432,unplugged,false
1769154587598000000,339.26100024414063,0.7400000095367432,unplugged,false
1769154588598000000,340.26100024414063,0.7300000190734863,unplugged,false
1769154589598000000,341.26100024414063,0.7300000190734863,unplugged,false
1769154590599000000,342.262,0.7300000190734863,unplugged,false
1769154591599000000,343.262,0.7300000190734863,unplugged,false
1769154592600000000,344.263,0.7300000190734863,unplugged,false
1769154593600000000,345.263,0.7300000190734863,unplugged,false
1769154594599000000,346.262,0.7300000190734863,unplugged,false
1769154595599000000,347.262,0.7300000190734863,unplugged,false
1769154596600000000,348.263,0.7300000190734863,unplugged,false
1769154597602000000,349.2649997558594,0.7300000190734863,unplugged,false
1769154598603000000,350.266,0.7300000190734863,unplugged,false
1769154599603000000,351.266,0.7300000190734863,unplugged,false
1769154600604000000,352.267,0.7300000190734863,unplugged,false
1769154601606000000,353.2690002441406,0.7300000190734863,unplugged,false
1769154602607000000,354.27,0.7300000190734863,unplugged,false
1769154603608000000,355.271,0.7300000190734863,unplugged,false
1769154604609000000,356.272,0.7300000190734863,unplugged,false
1769154605610000000,357.27299975585936,0.7300000190734863,unplugged,false
1769154606611000000,358.274,0.7300000190734863,unplugged,false
1769154607611000000,359.274,0.7300000190734863,unplugged,false
1769154608612000000,360.275,0.7300000190734863,unplugged,false
1769154609613000000,361.276,0.7300000190734863,unplugged,false
1769154610615000000,362.278,0.7300000190734863,unplugged,false
1769154611615000000,363.278,0.7300000190734863,unplugged,false
1769154612616000000,364.279,0.7300000190734863,unplugged,false
1769154613616000000,365.279,0.7300000190734863,unplugged,false
